1547109994.8910375,159
1547109994.8925018,158
1547109994.8932602,157
1547109994.8945293,156
1547109994.8952773,156
1547109994.895875,159
1547109994.8966246,161
1547109994.8972597,160
1547109994.8978145,160
1547109994.8984008,167
1547109994.8989868,173
1547109994.8995922,173
1547109994.9002728,176
1547109994.900846,172
1547109994.9014964,172
1547109994.90206,167
1547109994.9026222,167
1547109994.903262,166
1547109994.9038122,163
1547109994.904383,162
1547109994.9049382,165
1547109994.9055922,163
1547109994.9062576,163
1547109994.9068003,160
1547109994.907368,159
1547109994.9078882,156
1547109994.9084406,157
1547109994.9089742,156
1547109994.9095798,156
1547109994.9102433,158
1547109994.9107523,164
1547109994.9113503,171
1547109994.9118545,174
1547109994.9124405,174
1547109994.9129646,175
1547109994.9135535,178
1547109994.9140558,174
1547109994.9145567,171
1547109994.9150574,171
1547109994.915557,166
1547109994.9160564,162
1547109994.9165552,162
1547109994.917054,159
1547109994.9175518,158
1547109994.9180536,157
1547109994.9185634,157
1547109994.9191701,156
1547109994.919674,157
1547109994.9202383,158
1547109994.9207377,157
1547109994.921356,157
1547109994.921872,160
1547109994.9224405,161
1547109994.9229412,168
1547109994.9235773,171
1547109994.924168,171
1547109994.9246829,172
1547109994.9252386,173
1547109994.925735,176
1547109994.9263492,169
1547109994.9268394,169
1547109994.9273477,166
1547109994.9278338,163
1547109994.928348,163
1547109994.928835,163
1547109994.9293487,165
1547109994.9298384,164
1547109994.9303484,164
1547109994.9308357,163
1547109994.9313483,158
1547109994.9318347,158
1547109994.9323483,158
1547109994.9328349,156
1547109994.9333482,159
1547109994.9338388,159
1547109994.934349,157
1547109994.9348378,157
1547109994.9353487,157
1547109994.935836,157
1547109994.9363484,169
1547109994.936836,172
1547109994.9373493,172
1547109994.9378402,173
1547109994.9383488,175
1547109994.9388363,170
1547109994.9393492,170
1547109994.9398398,166
1547109994.940349,163
1547109994.9408376,163
1547109994.9413483,158
1547109994.941838,156
1547109994.9423482,155
1547109994.942836,155
1547109994.9433484,155
1547109994.9438581,159
1547109994.9444811,165
1547109994.945052,165
1547109994.9456098,165
1547109994.946248,174
1547109994.9467936,176
1547109994.947357,171
1547109994.9479034,167
1547109994.94858,161
1547109994.9492478,161
1547109994.9498022,157
1547109994.950356,159
1547109994.950896,154
1547109994.9515727,154
1547109994.9522448,162
1547109994.9527776,169
1547109994.9533558,169
1547109994.9539194,169
1547109994.9545782,172
1547109994.9552488,176
1547109994.9558206,172
1547109994.9564698,164
1547109994.9570513,161
1547109994.9576359,160
1547109994.9583635,158
1547109994.9589543,156
1547109994.9595766,153
1547109994.960249,153
1547109994.960803,156
1547109994.9614632,155
1547109994.9620152,158
1547109994.962572,158
1547109994.9632492,160
1547109994.9638264,160
1547109994.9644647,165
1547109994.965039,165
1547109994.9656115,171
1547109994.9662452,171
1547109994.9668272,171
1547109994.9674625,173
1547109994.968015,174
1547109994.968569,174
1547109994.9692433,168
1547109994.969789,165
1547109994.9703536,162
1547109994.9708946,164
1547109994.9715648,163
1547109994.972245,161
1547109994.9727902,162
1547109994.9733648,162
1547109994.9739351,159
1547109994.974567,157
1547109994.975252,156
1547109994.975826,157
1547109994.9764583,158
