0,3.2461,0.18395
1,3.3463,0.18395
2,3.4496,0.18395
3,3.5559,0.18395
4,3.6654,0.18395
5,3.7781,0.18395
6,3.8941,0.18395
7,4.0135,0.18395
8,4.1365,0.18395
9,4.263,0.18395
10,4.3932,0.18395
11,4.5272,0.18395
12,4.6651,0.18395
13,4.8069,0.18395
14,4.9529,0.18395
15,5.103,0.18395
16,5.2574,0.18395
17,5.4162,0.18395
18,5.5795,0.18395
19,5.7474,0.18395
20,5.92,0.18395
21,6.0975,0.18395
22,6.2799,0.18395
23,6.4674,0.18395
24,6.6601,0.18395
25,6.8581,0.18395
26,7.0615,0.18395
27,7.2705,0.18395
28,7.4851,0.18395
29,7.7055,0.18395
30,7.9318,0.18395
31,8.1642,0.18395
32,8.4027,0.18395
33,8.6475,0.18395
34,8.8987,0.18395
35,9.1564,0.18395
36,9.4209,0.18395
37,9.6921,0.18395
38,9.9702,0.18395
39,10.255,0.18395
40,10.548,0.18395
41,10.847,0.18395
42,11.154,0.18395
43,11.469,0.18395
44,11.791,0.18395
45,12.121,0.18395
46,12.459,0.18395
47,12.805,0.18395
48,13.158,0.18395
49,13.521,0.18395
50,13.891,0.18897
51,14.27,0.19436
52,14.657,0.20014
53,15.053,0.20629
54,15.458,0.21282
55,15.871,0.21973
56,16.293,0.227
57,16.724,0.23465
58,17.164,0.24265
59,17.613,0.25102
60,18.071,0.25975
61,18.539,0.26884
62,19.015,0.27827
63,19.501,0.28805
64,19.995,0.29818
65,20.499,0.30864
66,21.013,0.31945
67,21.535,0.33058
68,22.067,0.34204
69,22.607,0.35382
70,23.157,0.36592
71,23.716,0.37833
72,24.284,0.39105
73,24.861,0.40408
74,25.447,0.4174
75,26.042,0.43101
76,26.645,0.44491
77,27.257,0.4591
78,27.878,0.47355
79,28.506,0.48828
80,29.143,0.50328
81,29.788,0.51853
82,30.441,0.53404
83,31.101,0.54979
84,31.769,0.56578
85,32.444,0.582
86,33.126,0.59846
87,33.815,0.61513
